序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2236,002292,奥飞娱乐,7.91,1.41,0.11,193656.0,153074364.8,1.15,7.94,7.85,7.88,7.8,1.06,1.9,173.54,3.96,11696514603.0,8051341987.0,-0.25,-0.13,-23.2,-10.62
2237,603225,新凤鸣,17.97,1.41,0.25,149913.0,268717739.0,4.12,18.3,17.57,17.68,17.72,0.74,0.9,29.6,1.55,30144563227.0,29983765870.0,-0.55,-0.11,-9.29,-7.66
2238,603696,安记食品,15.87,1.41,0.22,56706.0,89145805.0,3.51,15.91,15.36,15.59,15.65,1.2,2.41,120.58,6.43,3732624000.0,3732624000.0,0.06,0.13,-37.76,-21.75
2239,300945,曼卡龙,15.87,1.41,0.22,73682.0,116120922.02,2.43,15.88,15.5,15.65,15.65,1.07,3.09,30.52,2.5,4159076752.0,3783418268.0,0.0,-0.06,-10.14,-1.79
2240,300046,台基股份,31.71,1.41,0.44,44215.0,139341785.63,1.98,31.75,31.13,31.58,31.27,0.73,1.87,152.78,6.6,7500409774.0,7500409774.0,-0.03,-0.03,-12.5,-8.62
2241,300867,圣元环保,20.12,1.41,0.28,62152.0,124395295.43,3.02,20.26,19.66,19.88,19.84,1.1,3.24,19.41,1.41,5467429986.0,3855551779.0,-0.25,-0.25,1.41,5.56
2242,688310,迈得医疗,15.96,1.4,0.22,16403.0,25920910.0,3.56,16.04,15.48,15.72,15.74,0.9,0.99,40.65,3.08,2652866252.0,2652866252.0,-0.25,-0.44,-0.68,4.11
2243,920718,合肥高科,13.03,1.4,0.18,2439.0,3165771.58,2.02,13.06,12.8,12.93,12.85,0.82,0.57,30.3,2.03,1181387101.0,561725150.0,0.39,0.15,-18.41,-13.88
2244,601226,华电科工,9.42,1.4,0.13,230497.0,215405335.0,3.34,9.43,9.12,9.27,9.29,1.1,1.98,69.86,2.49,10948147254.0,10948147254.0,0.11,0.0,4.43,20.15
2245,301076,新瀚新材,38.49,1.4,0.53,22105.0,84913060.2,1.79,38.62,37.94,38.11,37.96,0.91,2.01,101.05,5.67,6731177388.0,4226358000.0,-0.03,0.0,-18.97,-21.94
2246,603866,桃李面包,5.06,1.4,0.07,112321.0,56542264.0,2.2,5.08,4.97,4.98,4.99,1.51,0.7,20.37,1.55,8094578924.0,8094578924.0,-0.2,-0.2,-5.42,-3.8
2247,920821,则成电子,21.8,1.4,0.3,11432.0,24566802.03,2.56,21.8,21.25,21.77,21.5,0.74,1.57,170.59,5.71,3016289398.0,1588204600.0,0.6,1.07,-19.32,-16.44
2248,603035,常熟汽饰,14.46,1.4,0.2,43505.0,62740109.0,2.38,14.54,14.2,14.22,14.26,1.6,1.19,11.42,1.0,5297378777.0,5297378777.0,0.07,0.14,-10.69,-6.53
2249,301388,欣灵电气,32.65,1.4,0.45,24540.0,79223653.79,3.66,32.78,31.6,32.2,32.2,1.31,8.97,158.1,3.41,3344914140.0,893192598.0,-0.18,-0.09,-5.55,7.47
2250,002736,国信证券,12.27,1.4,0.17,319632.0,391940901.34,2.07,12.35,12.1,12.12,12.1,0.95,0.33,10.32,1.29,125666187346.0,117944508456.0,0.0,0.08,-8.84,-5.76
2251,002942,新农股份,19.52,1.4,0.27,18990.0,36846812.2,3.27,19.68,19.05,19.24,19.25,1.33,1.38,22.08,2.47,3042346794.0,2678315639.0,0.0,0.0,-4.22,1.56
2252,002063,远光软件,6.51,1.4,0.09,515226.0,332355025.88,1.87,6.51,6.39,6.44,6.42,1.25,2.92,41.3,3.15,12434526737.0,11481835330.0,0.0,0.0,-0.31,7.25
2253,920765,美之高,14.52,1.4,0.2,13209.0,19256153.56,2.79,14.76,14.36,14.72,14.32,1.96,2.5,-188.59,4.13,1262079518.0,766759150.0,0.0,0.0,-31.64,-30.02
2254,600278,东方创业,7.32,1.39,0.1,58327.0,42462951.0,1.66,7.33,7.21,7.23,7.22,0.85,0.67,26.59,0.83,6382421877.0,6382421877.0,0.27,0.27,-8.73,-3.68
2255,001218,丽臣实业,25.5,1.39,0.35,16029.0,40485881.4,2.03,25.55,25.04,25.17,25.15,1.19,1.73,24.77,1.46,3319545630.0,2369132835.0,0.0,0.28,8.05,11.94
2256,002589,瑞康医药,3.64,1.39,0.05,3886731.0,1475735647.01,9.75,3.95,3.6,3.87,3.59,3.16,28.46,338.47,1.02,5477146114.0,4970753235.0,0.0,0.28,-4.96,13.04
2257,000932,华菱钢铁,5.1,1.39,0.07,658662.0,335533779.58,2.19,5.14,5.03,5.04,5.03,0.99,0.96,13.39,0.63,34948306716.0,34948306716.0,-0.2,0.2,-10.53,-9.25
2258,300606,金太阳,38.04,1.39,0.52,96744.0,364851888.0,4.24,38.42,36.83,37.54,37.52,0.75,8.22,188.19,7.8,5262751301.0,4476337447.0,0.05,-0.05,55.9,61.8
2259,300951,博硕科技,37.95,1.39,0.52,19392.0,73266843.4,2.32,38.1,37.23,37.38,37.43,0.95,1.28,33.51,2.76,6428752656.0,5745415848.0,0.13,0.13,5.48,10.48
2260,002772,众兴菌业,18.18,1.39,0.25,126159.0,228134328.35,3.79,18.42,17.74,17.85,17.93,0.96,3.39,20.34,2.03,6812819250.0,6756353879.0,0.11,0.17,17.44,25.81
2261,300018,中元股份,13.09,1.39,0.18,127174.0,165047431.0,3.49,13.13,12.68,13.04,12.91,0.92,2.83,42.33,4.59,6353042166.0,5881497366.0,0.0,0.08,3.72,19.0
2262,300368,汇金股份,10.93,1.39,0.15,149110.0,161915862.0,2.6,10.98,10.7,10.88,10.78,0.71,2.82,-83.99,31.03,5781352182.0,5781352182.0,0.0,-0.09,-26.35,-27.9
2263,689009,九号公司-WD,45.81,1.39,0.63,106404.0,488000968.0,2.15,46.24,45.27,45.5,45.18,1.03,1.91,18.83,4.61,33104919506.0,25454677954.0,-0.11,-0.17,-17.68,-17.59
